State,Agency Name,URL,Counties Served
AL,Legal Services Alabama,https://legalservicesalabama.org/apply-for-services/,All
AK,Alaska Legal Services Corporation,https://www.alsc-law.org/application/,All
AS,American Samoa Legal Aid,https://www.aslegalaid.org/,All
AZ,"Community Legal Services, Inc.",http://www.clsaz.org/apply.html,"La Paz, Maricopa, Mohave, Yavapi, Yuma"
,"DNA - Peoples Legal Services, Inc.",https://dnalegalservices.org/contact/,"Coconino (AZ), Apache (AZ, the Navajo and Hopi Reservation areas), Navajo (AZ, the Navajo and Hopi Reservation areas), San Juan (NM); Native Americans living on or near the Navajo Reservation in Arizona, New Mexico and Utah, and the Hopi Reservation in Arizona, and members living off reservation who have cases which require litigation in tribal court; Native Americans living on or near the Jicarilla Indian Reservation "
,"Souther Arizona Legal Aid, Inc.",https://www.sazlegalaid.org/contact,"Apache (except the Navajo and Hopi Reservations), Cochise, Gila, Graham, Greenlee, Navajo (except the Navajo and Hopi Reservations), Pima, Pinal, Santa Cruz; Native Americans living in Gila and Graham counties who are members of the San Carlos Apache Indian Reservations and tribal members living off reservation who have cases requiring litigation in tribal court; Native Americans living off reservation in Maricopa; Native Americans living on or near the Tohono O'odham Reservation in Pima, Pinal & Maricopa Counties and Tohono O'odham tribal memebrs living off reservation who have cases requiring litigation in the Tohono O'odham National Court; and Native Americans living in: (1) Fort Apache Indian Reservation (covering portions of Gila, Apache, and Navajo Counties); (2) Gila River Indian Community in Pinal & Maricopa Counties, Ak-Chin Indian Community in Pinal, Cocopah Indian Community and Ft. Yuma Indian Community in Yuma; (3) Salt River Pima-Maricopa Indian Community & Ft. McDowell Mohave-Apache Tribe in Maricopa; (4) Camp Verde Yavapi-Apache Indian Community in Yavapi; (5) Pascua Yaqui Indian Community in Pima, and tribal members in living off reservations who have cases that require litigation in tribal court"
AR,"Center for Arkansas Legal Services, Inc.",http://www.arlegalservices.org/applyonline,"Arkansas, Ashley, Bradley, Calhoun, Chicot, Clark, Cleveland, Columbia, Conway, Crawford, Dallas, Deshua, Drew, Faulkner, Franklin, Garland, Grant, Hempstead, Hot Spring, Howard, Jefferson, Johnson, Lafayette, Lincoln, Little River, Logan, Lonoke, Miller, Montgomery, Nevada, Ouachita, Perry, Pike, Polk, Pope, Prairie, Pulaski, Saline, Scott, Sebastian, Sevier, Union, White, Yell"
,"Legal Aid of Arkansas, Inc.",http://www.arlegalservices.org/applyonline,"Baxter, Benton, Boone, Carroll, Clay, Clebure, Craighead, Crittenden, Cross, Fulton, Greene, Independence, Izard, Jackson, Lawrence, Lee, Madison, Marion, Mississippi, Monroe, Newton, Phillips, Poinsett, Randolph, St. Francis, Searcy, Sharp, Stone, Van Buren, Washington, Woodruff"
CA,Bay Area Legal Aid,https://baylegal.org/get-help/find-an-office/,"Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara (except Gilroy & Morgan Hill areas)"
,"California Indian Legal Services, Inc.",http://www.calindian.org/our-offices/,"Alpine, Inyo, Mono; Native Americans living in all counties in California including those who live on its 102 Native American Reservations"
,"California Rural Legal Assistance, Inc.",http://www.crla.org/contact-us,"Colusa, Imperial, Kern (northwest portion), Madera, Monterey, San Benito, San Joaquin, San Luis Obispo, Santa Barbara, Santa Clara (Gilroy and Morgan Hill area), Santa Cruz, Sonoma, Stanislaus, Sutter, Ventura, Yuba"
,Central California Legal Services,https://www.centralcallegal.org/eligibility/,"Fresno, Kings, Mariposa, Merced, Tulare, Tuolumne"
,"Greater Bakersfield Legal Assistance, Inc.",https://www.gbla.org/eligibilty/,Kern (except northwest portion)
,"Inland Counties Legal Services, Inc.",https://www.inlandlegal.org/node/46/apply-now,"Riverside, San Bernardino"
,Legal Aid Foundation of Los Angeles,https://lafla.org/help/,"Los Angeles (Greater Long Beach & Los Angeles Harbor area, Greater City of Los Angeles area)"
,Community Legal Aid SoCal,http://www.communitylegalsocal.org/help-yourself/,"Orange, Los Angeles (some southeast cities)"
,"Legal Aid Society of San Diego, Inc.",https://www.lassd.org/get-help,San Diego
,"Legal Services of Northern California, Inc.",https://www.lsnc.net/how-contact-us,"Amador, Butte, Calaveras, Del Norte, El Dorado, Glenn, Humboldt, Lake, Lassen, Mendocino, Modoc, Nevada, Placer, Plumas, Sacramento, Shasta, Sierra, Siskiyou, Solano, Tehama, Trinity, Yolo"
,Neighborhood Legal Services of Los Angeles County,https://www.nlsla.org/contact-us/,"Los Angeles (San Fernando, Santa Clarita and Antelope Valleys, Glendal, Burbank, San Gabriel, Pomona Valley including Pasadena)"
CO,Colorado Legal Services,https://www.coloradolegalservices.org/node/4/contact-colorado-legal-services,All
CT,"Statewide Legal Services of Connecticut, Inc.",https://www.slsct.org/get-help,All
DE,"Legal Services Corporation of Delaware, Inc.",https://delegalhelplink.org/,All
DC,Neighborhood Legal Services Program of the District of Columbia,http://www.nlsp.org/,All
FL,"Bay Area Legal Services, Inc.",https://bals.org/get-help,"Hillsborough, Manatee, Pasco, Pinellas, Sarasota"
,"Coast to Coast Legal Aid of South Florida, Inc.",https://www.coasttocoastlegalaid.org/about-coast-to-coast/resources-bc/,"Broward, Collier"
,"Community Legal Services of Mid-Florida, Inc.",https://clsmf.org/apply-for-help/eligibility/,"Brevard, Citrus, Flagler, Hernando, Lake, Marion, Orange, Osceola, Putnam, Seminole, Sumter, Volusia"
,"Florida Rural Legal Services, Inc.",https://www.frls.org/how-to-get-help/apply-for-services/,"Charlotte, DeSoto, Glades, Hardee, Hendry, Highlands, Indian River, Lee, Marin, Okeechobee, Palm Beach, Polk, St. Lucie"
,"Legal Services of Greater Miami, Inc.",https://www.legalservicesmiami.org/self-help,"Miami-Dade, Monroe"
,"Legal Services of North Florida, Inc.",https://www.lsnf.org/contact/,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Okaloosa, Santa Rosa, Wakulla, Walton, Washington"
,"Three Rivers Legal Services, Inc.",https://www.trls.org/apply-online/,"Alachua, Baker, Bradford, Clay, Columbia, Dixie, Duval, Gilchirst, Hamilton, Lafayette, Levy, Madison, Nassau, St. Johns, Suwannee, Taylor, Union"
GA,"Atlanta Legal Aid Society, Inc.",https://atlantalegalaid.org/get-help/,"Clayton, Cobb, DeKalb, Fulton, Gwinnett"
,Georgia Legal Services Program,https://gaoi.legalserver.org/modules/matter/extern_intake.php?pid=108&h=5c2a5f&,"Appling, Atkinson, Bacon, Baker, Baldwin, Banks, Barrow, Bartow, Ben Hill, Berrien, Bibb, Bleckley, Brantley, Brooks, Bryan, Bulloch, Burke, Butts, Calhoun, Camden, Candler, Carroll, Catoosa, Charlton, Chatham, Chattahoochee, Chattooga, Cherokee, Clarke, Clay, Clinch, Coffee, Colquitt, Columbia, Cook, Coweta, Crawford, Crisp, Dade, Dawson, Decatur, Dodge, Dooly, Dougherty, Douglas, Early, Echols, Effingham, Elbert, Emanuel, Evans, Fannin, Fayette, Floyd, Forsyth, Franklin, Gilmer, Glascock, Glynn, Gordon, Grady, Greene, Habersham, Hall, Hancock, Haralson, Harris, Hart, Heard, Henry, Houston, Irwin, Jackson, Jasper, Jeff Davis, Jefferson, Jenkins, Johnson, Jones, Lamar, Lanier, Laurens, Lee, Liberty, Lincoln, Long, Lowndes, Lumpkin, McDuffie, McIntosh, Macon, Madison, Marion, Meriwether, Miller, Mitchell, Monroe, Montgomery, Morgan, Murray, Muscogee, Newton, Oconee, Oglethorpe, Paulding, Peach, Pickens, Pierce, Pike, Polk, Pulaski, Putnam, Quitman, Rabun, Randolph, Richmond, Rockdale, Schley, Screven, Seminole, Spalding, Stephens, Stewart, Sumter, Talbot, Taliaferro, Tattnall, Taylor, Telfair, Terrell, Thomas, Tift, Toombs, Towns, Treutlen, Troup, Turner, Twiggs, Union, Upson, Walker, Walton, Ware, Warren, Washington, Wayne, Webster, Wheeler, White, Whitfield, Wilcox, Wilkes, Wilkinson, Worth"
HI,Legal Aid Society of Hawaii,https://www.legalaidhawaii.org/get-help.html,All
ID,"Idaho Legal Aid Services, Inc.",https://www.idaholegalaid.org/node/2413/apply-legal-assistance,All
IL,"Land of Lincoln Legal Assistance Foundation, Inc.",https://lincolnlegal.org/contact-us/,"Adams, Alexander, Bond, Brown, Calhoun, Cass, Champaign, Christian, Clark, Clay, Clinton, Coles, Crawford, Cumberland, De Witt, Douglas, Edgar, Edwards, Effingham, Fayette, Ford, Franklin, Gallatin, Greene, Hamilton, Hancock, Hardin, Jackson, Jasper, Jefferson, Jersey, Johnson, Lawrence, Logan, Macon, Macoupin, Madison, Marion, Mason, Massac, Menard, Monroe, Montgomery, Morgan, Moultrie, Perry, Piatt, Pike, Pope, Pulaski, Randolph, Richland, St. Clair, Saline, Sangamon, Schuyler, Scott, Shelby, Union, Vermilion, Wabash, Washington, Wayne, White, Williamson"
,Legal Aid Chicago,https://www.legalaidchicago.org/get-help/am-i-eligible-for-legal-aid/,
,"Prairie State Legal Services, Inc.",https://www.pslegal.org/psls-apply-online.asp,"Boone, Bureau, Carroll, DeKalb, DuPage, Fulton, Grundy, Henderson, Henry, Iroquois, Jo Daviess, Kane, Kankakee, Kendall, Knox, Lake, LaSalle, Lee, Livingston, McDonough, McHenry, McLean, Marshall, Mercer, Ogle, Peoria, Putnam, Rock Island, Stark, Stephenson, Tazewell, Warren, Whiteside, Will, Winnebago, Woodford"
IN,"Indiana Legal Services, Inc.",https://www.indianalegalservices.org/applyonline,All
IA,Iowa Legal Aid,https://www.iowalegalaid.org/,All
KS,"Kansas Legal Services, Inc.",https://www.kansaslegalservices.org/node/63/get-help,All
